course_id,course_title,course_description,career_path,career_level,sector,job_role,primary_skill,secondary_skills,difficulty_level,duration_hours,provider,prerequisites,learning_outcomes,career_progression_target
C0022,Frontend Developer - Fundamentals,Comprehensive mid-level course for Frontend Developer professionals focusing on Project Execution and Control and related competencies,Software Engineering,mid,Agrifood,Frontend Developer,Project Execution and Control,"Business Acumen, Data Analytics, Systems Thinking, Aircraft Sensing Components Maintenance, Programming and Coding, Green Manufacturing Design and Implementation",Advanced,71,MasterClass,Completion of mid level requirements,"Master Project Execution and Control, develop 6 supporting skills, advance to mid proficiency",Senior level roles
C0023,Frontend Developer - Advanced Concepts,Comprehensive mid-level course for Frontend Developer professionals focusing on Cyber Security and related competencies,Software Engineering,mid,Arts,Frontend Developer,Cyber Security,"Arts Curriculum Design, Aircraft Sensing Components Maintenance, Green Manufacturing Design and Implementation, Systems Thinking, Data Analytics, Business Acumen",Intermediate,60,Pluralsight,Completion of mid level requirements,"Master Cyber Security, develop 6 supporting skills, advance to mid proficiency",Senior level roles
C0024,Frontend Developer - Practical Applications,Comprehensive mid-level course for Frontend Developer professionals focusing on Financial Modelling and related competencies,Software Engineering,mid,Arts,Frontend Developer,Financial Modelling,"Systems Thinking, Arts Curriculum Design, Data Analytics, Green Manufacturing Design and Implementation, Programming and Coding, Business Acumen, Aircraft Sensing Components Maintenance",Advanced,58,Coursera,Completion of mid level requirements,"Master Financial Modelling, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0025,Frontend Developer - Leadership Skills,Comprehensive mid-level course for Frontend Developer professionals focusing on Cyber Security and related competencies,Software Engineering,mid,Aerospace,Frontend Developer,Cyber Security,"Data Analytics, Business Acumen, Arts Curriculum Design, Green Manufacturing Design and Implementation, Systems Thinking, Programming and Coding, Aircraft Sensing Components Maintenance",Intermediate,53,edX,Completion of mid level requirements,"Master Cyber Security, develop 7 supporting skills, advance to mid proficiency",Senior level roles
C0026,Senior Software Engineer - Fundamentals,Comprehensive senior-level course for Senior Software Engineer professionals focusing on Change Management and related competencies,Software Engineering,senior,Aerospace,Senior Software Engineer,Change Management,"Multimedia Operations, Cyber Security, Financial Modelling, Project Execution and Control, Farm Biosecurity Compliance and Management, Aviation Legislation Compliance",Advanced,85,edX,Completion of senior level requirements,"Master Change Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0027,Senior Software Engineer - Advanced Concepts,Comprehensive senior-level course for Senior Software Engineer professionals focusing on Change Management and related competencies,Software Engineering,senior,Arts,Senior Software Engineer,Change Management,"Cyber Security, Infrastructure Design, Financial Modelling, Project Execution and Control, Farm Biosecurity Compliance and Management, Aviation Legislation Compliance",Expert,79,Pluralsight,Completion of senior level requirements,"Master Change Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0028,Senior Software Engineer - Practical Applications,Comprehensive senior-level course for Senior Software Engineer professionals focusing on Change Management and related competencies,Software Engineering,senior,Arts,Senior Software Engineer,Change Management,"Aviation Legislation Compliance, Infrastructure Design, Farm Biosecurity Compliance and Management, Multimedia Operations, Financial Modelling, Project Execution and Control, Cyber Security",Expert,118,External Certification,Completion of senior level requirements,"Master Change Management, develop 7 supporting skills, advance to senior proficiency",Leadership roles
C0029,Senior Software Engineer - Leadership Skills,Comprehensive senior-level course for Senior Software Engineer professionals focusing on Cash Flow Management and related competencies,Software Engineering,senior,Arts,Senior Software Engineer,Cash Flow Management,"Financial Modelling, Cyber Security, Aviation Legislation Compliance, Infrastructure Design, Project Execution and Control, Farm Biosecurity Compliance and Management, Multimedia Operations",Expert,98,MasterClass,Completion of senior level requirements,"Master Cash Flow Management, develop 7 supporting skills, advance to senior proficiency",Leadership roles
C0030,Senior Software Engineer - Strategic Thinking,Comprehensive senior-level course for Senior Software Engineer professionals focusing on Risk Advisory and related competencies,Software Engineering,senior,Agrifood,Senior Software Engineer,Risk Advisory,"Farm Biosecurity Compliance and Management, Aviation Legislation Compliance, Cyber Security, Project Execution and Control, Financial Modelling, Infrastructure Design",Expert,117,Internal Training,Completion of senior level requirements,"Master Risk Advisory, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0031,Tech Lead - Fundamentals,Comprehensive senior-level course for Tech Lead professionals focusing on Engagement Quality Control and related competencies,Software Engineering,senior,Agrifood,Tech Lead,Engagement Quality Control,"Farm Biosecurity Compliance and Management, Multimedia Operations, Financial Modelling, Infrastructure Design",Advanced,66,Pluralsight,Completion of senior level requirements,"Master Engagement Quality Control, develop 4 supporting skills, advance to senior proficiency",Leadership roles
C0032,Tech Lead - Advanced Concepts,Comprehensive senior-level course for Tech Lead professionals focusing on Strategy Planning and related competencies,Software Engineering,senior,Accountancy,Tech Lead,Strategy Planning,"Project Execution and Control, Infrastructure Design, Aviation Legislation Compliance, Multimedia Operations",Expert,93,Udemy,Completion of senior level requirements,"Master Strategy Planning, develop 4 supporting skills, advance to senior proficiency",Leadership roles
C0033,Tech Lead - Practical Applications,Comprehensive senior-level course for Tech Lead professionals focusing on Strategy Planning and related competencies,Software Engineering,senior,Arts,Tech Lead,Strategy Planning,"Farm Biosecurity Compliance and Management, Cyber Security, Aviation Legislation Compliance, Multimedia Operations, Financial Modelling, Project Execution and Control",Expert,105,MasterClass,Completion of senior level requirements,"Master Strategy Planning, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0034,Tech Lead - Leadership Skills,Comprehensive senior-level course for Tech Lead professionals focusing on Risk Advisory and related competencies,Software Engineering,senior,Arts,Tech Lead,Risk Advisory,"Cyber Security, Project Execution and Control, Infrastructure Design, Multimedia Operations, Aviation Legislation Compliance, Financial Modelling, Farm Biosecurity Compliance and Management",Advanced,62,Pluralsight,Completion of senior level requirements,"Master Risk Advisory, develop 7 supporting skills, advance to senior proficiency",Leadership roles
C0035,Tech Lead - Strategic Thinking,Comprehensive senior-level course for Tech Lead professionals focusing on Cash Flow Management and related competencies,Software Engineering,senior,Aerospace,Tech Lead,Cash Flow Management,"Cyber Security, Farm Biosecurity Compliance and Management, Infrastructure Design, Aviation Legislation Compliance, Multimedia Operations, Financial Modelling",Advanced,64,Internal Training,Completion of senior level requirements,"Master Cash Flow Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0036,Software Architect - Fundamentals,Comprehensive senior-level course for Software Architect professionals focusing on Change Management and related competencies,Software Engineering,senior,Accountancy,Software Architect,Change Management,"Project Execution and Control, Infrastructure Design, Cyber Security, Farm Biosecurity Compliance and Management, Aviation Legislation Compliance",Advanced,72,LinkedIn Learning,Completion of senior level requirements,"Master Change Management, develop 5 supporting skills, advance to senior proficiency",Leadership roles
C0037,Software Architect - Advanced Concepts,Comprehensive senior-level course for Software Architect professionals focusing on Cash Flow Management and related competencies,Software Engineering,senior,Accountancy,Software Architect,Cash Flow Management,"Infrastructure Design, Multimedia Operations, Project Execution and Control, Cyber Security, Aviation Legislation Compliance, Financial Modelling",Advanced,81,Coursera,Completion of senior level requirements,"Master Cash Flow Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0038,Software Architect - Practical Applications,Comprehensive senior-level course for Software Architect professionals focusing on Business Process Management and related competencies,Software Engineering,senior,Agrifood,Software Architect,Business Process Management,"Project Execution and Control, Farm Biosecurity Compliance and Management, Financial Modelling, Multimedia Operations, Infrastructure Design, Aviation Legislation Compliance",Advanced,62,Internal Training,Completion of senior level requirements,"Master Business Process Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0039,Software Architect - Leadership Skills,Comprehensive senior-level course for Software Architect professionals focusing on Strategy Planning and related competencies,Software Engineering,senior,Agrifood,Software Architect,Strategy Planning,"Farm Biosecurity Compliance and Management, Infrastructure Design, Project Execution and Control, Financial Modelling, Multimedia Operations, Aviation Legislation Compliance, Cyber Security",Advanced,65,Pluralsight,Completion of senior level requirements,"Master Strategy Planning, develop 7 supporting skills, advance to senior proficiency",Leadership roles
C0040,Software Architect - Strategic Thinking,Comprehensive senior-level course for Software Architect professionals focusing on Business Process Management and related competencies,Software Engineering,senior,Aerospace,Software Architect,Business Process Management,"Cyber Security, Infrastructure Design, Multimedia Operations, Financial Modelling, Farm Biosecurity Compliance and Management, Aviation Legislation Compliance",Advanced,77,Coursera,Completion of senior level requirements,"Master Business Process Management, develop 6 supporting skills, advance to senior proficiency",Leadership roles
C0041,Lead Software Engineer - Fundamentals,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Sustainability Assurance and related competencies,Software Engineering,lead,Arts,Lead Software Engineer,Sustainability Assurance,"Multi-Camera Operations for Live Shows, Accounting and Tax Systems, Automated System Design, Budgeting, Capital Raising",Master,129,edX,Completion of lead level requirements,"Master Sustainability Assurance, develop 5 supporting skills, advance to lead proficiency",Executive positions
C0042,Lead Software Engineer - Advanced Concepts,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Valuation Conclusion and Reporting and related competencies,Software Engineering,lead,Accountancy,Lead Software Engineer,Valuation Conclusion and Reporting,"Multi-Camera Operations for Live Shows, Automated System Design, Predictive Maintenance, Capital Raising, Budgeting",Master,155,LinkedIn Learning,Completion of lead level requirements,"Master Valuation Conclusion and Reporting, develop 5 supporting skills, advance to lead proficiency",Executive positions
C0043,Lead Software Engineer - Practical Applications,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Finance Business Partnering and related competencies,Software Engineering,lead,Agrifood,Lead Software Engineer,Finance Business Partnering,"Capital Raising, Accounting and Tax Systems, Predictive Maintenance, Automated System Design",Expert,128,Internal Training,Completion of lead level requirements,"Master Finance Business Partnering, develop 4 supporting skills, advance to lead proficiency",Executive positions
C0044,Lead Software Engineer - Leadership Skills,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Finance Business Partnering and related competencies,Software Engineering,lead,Aerospace,Lead Software Engineer,Finance Business Partnering,"Automated System Design, Multi-Camera Operations for Live Shows, Accounting and Tax Systems, Budgeting, Predictive Maintenance",Expert,118,Coursera,Completion of lead level requirements,"Master Finance Business Partnering, develop 5 supporting skills, advance to lead proficiency",Executive positions
C0045,Lead Software Engineer - Strategic Thinking,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Programme and Project Management and related competencies,Software Engineering,lead,Arts,Lead Software Engineer,Programme and Project Management,"Automated System Design, Capital Raising, Budgeting, Accounting and Tax Systems, Predictive Maintenance, Multi-Camera Operations for Live Shows",Expert,116,Udemy,Completion of lead level requirements,"Master Programme and Project Management, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0046,Lead Software Engineer - Executive Excellence,Comprehensive lead-level course for Lead Software Engineer professionals focusing on Infocomm Security and Data Privacy and related competencies,Software Engineering,lead,Accountancy,Lead Software Engineer,Infocomm Security and Data Privacy,"Multi-Camera Operations for Live Shows, Capital Raising, Predictive Maintenance, Accounting and Tax Systems",Master,160,Pluralsight,Completion of lead level requirements,"Master Infocomm Security and Data Privacy, develop 4 supporting skills, advance to lead proficiency",Executive positions
C0047,Engineering Manager - Fundamentals,Comprehensive lead-level course for Engineering Manager professionals focusing on Infocomm Security and Data Privacy and related competencies,Software Engineering,lead,Aerospace,Engineering Manager,Infocomm Security and Data Privacy,"Predictive Maintenance, Accounting and Tax Systems, Budgeting, Capital Raising, Multi-Camera Operations for Live Shows",Expert,133,Coursera,Completion of lead level requirements,"Master Infocomm Security and Data Privacy, develop 5 supporting skills, advance to lead proficiency",Executive positions
C0048,Engineering Manager - Advanced Concepts,Comprehensive lead-level course for Engineering Manager professionals focusing on Programme and Project Management and related competencies,Software Engineering,lead,Arts,Engineering Manager,Programme and Project Management,"Budgeting, Capital Raising, Predictive Maintenance, Automated System Design, Multi-Camera Operations for Live Shows, Accounting and Tax Systems",Expert,132,edX,Completion of lead level requirements,"Master Programme and Project Management, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0049,Engineering Manager - Practical Applications,Comprehensive lead-level course for Engineering Manager professionals focusing on Sustainability Assurance and related competencies,Software Engineering,lead,Aerospace,Engineering Manager,Sustainability Assurance,"Predictive Maintenance, Capital Raising, Budgeting, Automated System Design",Expert,147,Udemy,Completion of lead level requirements,"Master Sustainability Assurance, develop 4 supporting skills, advance to lead proficiency",Executive positions
C0050,Engineering Manager - Leadership Skills,Comprehensive lead-level course for Engineering Manager professionals focusing on Programme and Project Management and related competencies,Software Engineering,lead,Agrifood,Engineering Manager,Programme and Project Management,"Predictive Maintenance, Multi-Camera Operations for Live Shows, Capital Raising, Budgeting, Automated System Design, Accounting and Tax Systems",Expert,144,Internal Training,Completion of lead level requirements,"Master Programme and Project Management, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0051,Engineering Manager - Strategic Thinking,Comprehensive lead-level course for Engineering Manager professionals focusing on Finance Business Partnering and related competencies,Software Engineering,lead,Agrifood,Engineering Manager,Finance Business Partnering,"Predictive Maintenance, Multi-Camera Operations for Live Shows, Automated System Design, Accounting and Tax Systems",Master,137,LinkedIn Learning,Completion of lead level requirements,"Master Finance Business Partnering, develop 4 supporting skills, advance to lead proficiency",Executive positions
C0052,Engineering Manager - Executive Excellence,Comprehensive lead-level course for Engineering Manager professionals focusing on Infocomm Security and Data Privacy and related competencies,Software Engineering,lead,Aerospace,Engineering Manager,Infocomm Security and Data Privacy,"Capital Raising, Predictive Maintenance, Multi-Camera Operations for Live Shows, Budgeting, Accounting and Tax Systems, Automated System Design",Expert,106,Pluralsight,Completion of lead level requirements,"Master Infocomm Security and Data Privacy, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0053,Principal Engineer - Fundamentals,Comprehensive lead-level course for Principal Engineer professionals focusing on Finance Business Partnering and related competencies,Software Engineering,lead,Aerospace,Principal Engineer,Finance Business Partnering,"Automated System Design, Capital Raising, Multi-Camera Operations for Live Shows, Accounting and Tax Systems, Budgeting, Predictive Maintenance",Master,190,Pluralsight,Completion of lead level requirements,"Master Finance Business Partnering, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0054,Principal Engineer - Advanced Concepts,Comprehensive lead-level course for Principal Engineer professionals focusing on Restructuring Insolvency Advisory and related competencies,Software Engineering,lead,Arts,Principal Engineer,Restructuring Insolvency Advisory,"Budgeting, Capital Raising, Accounting and Tax Systems, Predictive Maintenance",Master,147,Internal Training,Completion of lead level requirements,"Master Restructuring Insolvency Advisory, develop 4 supporting skills, advance to lead proficiency",Executive positions
C0055,Principal Engineer - Practical Applications,Comprehensive lead-level course for Principal Engineer professionals focusing on Restructuring Insolvency Advisory and related competencies,Software Engineering,lead,Arts,Principal Engineer,Restructuring Insolvency Advisory,"Predictive Maintenance, Capital Raising, Automated System Design, Budgeting, Accounting and Tax Systems, Multi-Camera Operations for Live Shows",Expert,97,External Certification,Completion of lead level requirements,"Master Restructuring Insolvency Advisory, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0056,Principal Engineer - Leadership Skills,Comprehensive lead-level course for Principal Engineer professionals focusing on Infocomm Security and Data Privacy and related competencies,Software Engineering,lead,Arts,Principal Engineer,Infocomm Security and Data Privacy,"Accounting and Tax Systems, Multi-Camera Operations for Live Shows, Budgeting, Predictive Maintenance, Capital Raising, Automated System Design",Expert,136,Udemy,Completion of lead level requirements,"Master Infocomm Security and Data Privacy, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0057,Principal Engineer - Strategic Thinking,Comprehensive lead-level course for Principal Engineer professionals focusing on Sustainability Assurance and related competencies,Software Engineering,lead,Arts,Principal Engineer,Sustainability Assurance,"Automated System Design, Budgeting, Capital Raising, Accounting and Tax Systems, Multi-Camera Operations for Live Shows, Predictive Maintenance",Master,163,MasterClass,Completion of lead level requirements,"Master Sustainability Assurance, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0058,Principal Engineer - Executive Excellence,Comprehensive lead-level course for Principal Engineer professionals focusing on Valuation Conclusion and Reporting and related competencies,Software Engineering,lead,Aerospace,Principal Engineer,Valuation Conclusion and Reporting,"Predictive Maintenance, Automated System Design, Multi-Camera Operations for Live Shows, Budgeting, Capital Raising, Accounting and Tax Systems",Master,174,Pluralsight,Completion of lead level requirements,"Master Valuation Conclusion and Reporting, develop 6 supporting skills, advance to lead proficiency",Executive positions
C0059,Junior Data Analyst - Fundamentals,Comprehensive entry-level course for Junior Data Analyst professionals focusing on Data Analytics and related competencies,Data Science,entry,Accountancy,Junior Data Analyst,Data Analytics,"Equipment Maintenance and Housekeeping, Lesson Planning, Food Safety Management",Intermediate,36,External Certification,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0060,Junior Data Analyst - Advanced Concepts,Comprehensive entry-level course for Junior Data Analyst professionals focusing on Programming and Coding and related competencies,Data Science,entry,Aerospace,Junior Data Analyst,Programming and Coding,"Food Safety Management, Lesson Planning, Equipment Maintenance and Housekeeping",Intermediate,38,Internal Training,None,"Master Programming and Coding, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0061,Junior Data Analyst - Practical Applications,Comprehensive entry-level course for Junior Data Analyst professionals focusing on Data Analytics and related competencies,Data Science,entry,Arts,Junior Data Analyst,Data Analytics,"Food Safety Management, Lesson Planning, Equipment Maintenance and Housekeeping",Beginner,16,MasterClass,None,"Master Data Analytics, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0062,Data Science Intern - Fundamentals,Comprehensive entry-level course for Data Science Intern professionals focusing on Business Acumen and related competencies,Data Science,entry,Arts,Data Science Intern,Business Acumen,"Equipment Maintenance and Housekeeping, Food Safety Management, Lesson Planning",Beginner,28,Udemy,None,"Master Business Acumen, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0063,Data Science Intern - Advanced Concepts,Comprehensive entry-level course for Data Science Intern professionals focusing on Systems Thinking and related competencies,Data Science,entry,Aerospace,Data Science Intern,Systems Thinking,"Lesson Planning, Equipment Maintenance and Housekeeping, Food Safety Management",Intermediate,34,edX,None,"Master Systems Thinking, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0064,Data Science Intern - Practical Applications,Comprehensive entry-level course for Data Science Intern professionals focusing on Systems Thinking and related competencies,Data Science,entry,Accountancy,Data Science Intern,Systems Thinking,"Equipment Maintenance and Housekeeping, Lesson Planning, Food Safety Management",Beginner,24,LinkedIn Learning,None,"Master Systems Thinking, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0065,Business Intelligence Analyst - Fundamentals,Comprehensive entry-level course for Business Intelligence Analyst professionals focusing on Programming and Coding and related competencies,Data Science,entry,Agrifood,Business Intelligence Analyst,Programming and Coding,"Lesson Planning, Food Safety Management, Equipment Maintenance and Housekeeping",Beginner,19,Internal Training,None,"Master Programming and Coding, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
C0066,Business Intelligence Analyst - Advanced Concepts,Comprehensive entry-level course for Business Intelligence Analyst professionals focusing on Programming and Coding and related competencies,Data Science,entry,Agrifood,Business Intelligence Analyst,Programming and Coding,"Food Safety Management, Lesson Planning, Equipment Maintenance and Housekeeping",Intermediate,45,Coursera,None,"Master Programming and Coding, develop 3 supporting skills, advance to entry proficiency",Mid-level positions
